FFL_num	FFL_XYZ	ave	reg	XY	XZ	YZ
000100110: 11 143 10	YGR055W YDR392W YIL101C	89.1626666667	binding enriched|binding enriched|binding enriched	93.386	46.579	127.523
000100110: 11 137 478	YGR055W YIR018W YNL068C	69.265	binding enriched|binding enriched|binding enriched	70.18	66.106	71.509
000100110: 11 137 156	YGR055W YIR018W YDR207C	106.379333333	binding enriched|binding enriched|binding enriched	127.028	120.601	71.509
000100110: 11 137 143	YGR055W YIR018W YDR392W	114.037333333	binding enriched|binding enriched|binding enriched	143.08	127.523	71.509
000100110: 11 137 53	YGR055W YIR018W YNL103W	83.235	?|?|binding enriched	92.63	85.566	71.509
000100110: 11 137 8	YGR055W YIR018W YDR253C	103.846666667	bound|bound|binding enriched	125.777	114.254	71.509
000100110: 11 127 44	YGR055W YHR084W YDR259C	91.1066666667	binding enriched|binding enriched|binding enriched	83.265	123.242	66.813
000100110: 11 97 173	YGR055W YOR174W YML007W	105.570333333	binding enriched|binding enriched|binding enriched	118.245	81.934	116.532
000100110: 11 70 44	YGR055W YNL330C YDR259C	98.4223333333	binding enriched|binding enriched|binding enriched	63.684	123.242	108.341
000100110: 11 53 173	YGR055W YNL103W YML007W	90.5426666667	binding enriched|binding enriched|?	104.128	81.934	85.566
000100110: 11 53 23	YGR055W YNL103W YOR110W	84.8903333333	binding enriched|binding enriched|?	52.768	116.337	85.566
000100110: 11 44 137	YGR055W YDR259C YIR018W	109.434666667	binding enriched|binding enriched|binding enriched	133.553	71.509	123.242
000100110: 11 44 53	YGR055W YDR259C YNL103W	101.507666667	?|?|binding enriched	95.715	85.566	123.242
000100110: 11 44 10	YGR055W YDR259C YIL101C	86.2446666667	binding enriched|binding enriched|binding enriched	88.913	46.579	123.242
000100110: 11 38 97	YGR055W YBR112C YOR174W	94.281	binding enriched|binding enriched|binding enriched	108.762	116.532	57.549
000100110: 11 23 173	YGR055W YOR110W YML007W	99.5856666667	binding enriched|binding enriched|binding enriched	100.486	81.934	116.337
000100110: 11 10 218	YGR055W YIL101C YDR463W	83.4403333333	binding enriched|binding enriched|binding enriched	84.72	119.022	46.579
000100110: 11 10 156	YGR055W YIL101C YDR207C	84.2776666667	-|binding enriched|binding enriched	85.653	120.601	46.579
000100110: 11 8 355	YGR055W YDR253C YJL056C	103.521666667	?|?|bound	104.058	92.253	114.254
