id1	id2	reg	distance
YIL131C	YNR030W	binding enriched	64.019
YIL131C	YCR060W	binding enriched	50.093
YPL075W	YOL039W	+	79.520
YDR207C	YBR126C	binding enriched	78.782
YJL056C	YNR071C	binding enriched	27.274
YDR392W	YBR196C	binding enriched	84.041
YOL148C	YIR011C	+	98.019
YPL075W	YFL002W-B	-	77.545
YLR403W	YLL021W	?	154.211
YOL148C	YIL009W	+	97.304
YLR403W	YOR162C	-	141.560
YDR392W	YIL116W	binding enriched	93.359
YDL005C	YIL114C	binding enriched	69.080
YBL008W	YNL160W	-	94.027
YHR058C	YGR058W	binding enriched	68.228
YOR110W	YOR098C	binding enriched	3.866
YNL216W	YMR096W	-	80.909
YPL254W	YOL014W	+	104.620
YJL127C	YDR210W-A	-	107.131
YBR049C	YIL147C	-	65.250
YNL068C	YDR153C	binding enriched	104.761
YIR018W	YDR293C	binding enriched	132.749
YNL103W	YJR010W	?	72.906
YIL131C	YBL055C	binding enriched	35.332
YGL073W	YER036C	+	41.184
YLR403W	YDL021W	?	159.302
YDR207C	YNL030W	binding enriched	126.707
YDR207C	YPR158W	binding enriched	37.576
YJL127C	YDR447C	+	92.588
YBR049C	YLR114C	binding enriched	54.905
YLR418C	YNR074C	+	148.659
YGR252W	YPR133W-A	binding enriched	103.290
YML007W	YER069W	+	98.187
YOR174W	YOR009W	binding enriched	99.574
YGL073W	YOR293W	+	86.091
YNL216W	YGR254W	+	72.650
YGL073W	YMR145C	+	101.718
YBR049C	YCR034W	+	21.501
YJL127C	YOR323C	+	71.451
YML007W	YML026C	binding enriched	23.302
YMR037C	YDR487C	binding enriched	86.157
YIL101C	YPL248C	binding enriched	66.634
YOR110W	YER180C-A	binding enriched	76.028
YML007W	YGR209C	+	104.876
YGR252W	YGR244C	binding enriched	13.155
YDR392W	YKR013W	+	120.740
YKL112W	YOR230W	+	65.293
YPR065W	YMR319C	-	71.972
YLR403W	YMR186W	?	116.426
YIL036W	YLR179C	+	123.819
YLR098C	YDR316W-B	binding enriched	102.551
YML007W	YLL049W	binding enriched	51.917
YPR086W	YDR330W	binding enriched	66.595
YDR259C	YMR305C	binding enriched	42.807
YHR058C	YNL300W	binding enriched	115.499
YNL216W	YLR379W	+	136.026
YCR084C	YML040W	+	42.198
YNL103W	YHR183W	?	84.341
YBR049C	YIL162W	+	72.114
YNL330C	YPR102C	binding enriched	101.761
YBR049C	YDL039C	binding enriched	66.326
YOR174W	YAL044W-A	binding enriched	94.847
YLR403W	YPL260W	-	102.850
YLR176C	YDR347W	binding enriched	123.911
YGL073W	YMR108W	+	103.520
YOL108C	YNL156C	binding enriched	29.459
YNL236W	YAL038W	+	70.830
YLR403W	YER173W	-	97.978
YPR052C	YER104W	binding enriched	69.824
YJL127C	YOL119C	?	46.270
YDR423C	YBR157C	+	65.714
YIL101C	YPL056C	binding enriched	73.246
YOR174W	YDL038C	binding enriched	72.858
YLR176C	YNL274C	binding enriched	111.925
YGR252W	YGL246C	binding enriched	18.521
YIR018W	YGL094C	binding enriched	78.567
YNL103W	YAR035W	?	99.797
YBR049C	YBL105C	binding enriched	42.193
YLR403W	YCR097W-A	-	133.441
YIL131C	YAR023C	binding enriched	87.260
YPL075W	YLR441C	+	132.230
YHR041C	YIL051C	+	56.062
YHL027W	YMR319C	+	98.570
YEL009C	YML012C-A	?	46.171
YLR176C	YMR298W	binding enriched	97.674
YDR463W	YMR018W	binding enriched	105.083
YPL254W	YJL158C	+	110.139
YER159C	YDL046W	binding enriched	84.724
YIL101C	YLL018C	binding enriched	45.976
YIL101C	YAL065C	binding enriched	70.313
YJL056C	YBR048W	binding enriched	104.034
YIL036W	YNL284C-A	+	100.512
YNL216W	YCL009C	+	106.604
YOR110W	YDL202W	binding enriched	37.273
YPL177C	YLR214W	+	99.490
YPR104C	YBL027W	binding enriched	68.286
YOR110W	YGL172W	binding enriched	82.910
YMR042W	YOR150W	+	86.047
YOL148C	YAL003W	+	101.011
YNL216W	YBR196C	+	91.878
YPR133C	YKR031C	binding enriched	51.995
YPL075W	YEL037C	+	95.637
YEL009C	YOR383C	-	113.936
YBR083W	YAL007C	+	90.932
YDR423C	YBL061C	-	101.374
YJL127C	YLR326W	?	140.243
YPL075W	YDR388W	+	96.015
YEL009C	YLR080W	?	62.910
YLR176C	YLL052C	binding enriched	123.306
YER159C	YLR304C	binding enriched	98.420
YDR463W	YDL184C	binding enriched	38.010
YLR403W	YMR194W	+	116.494
YGL073W	YMR120C	+	97.623
YDL170W	YPL009C	binding enriched	98.808
YPL075W	YBR196C-A	binding enriched	65.821
YPL075W	YML024W	+	43.556
YDR207C	YKL163W	binding enriched	66.703
YNL330C	YPL016W	binding enriched	123.737
YDL020C	YNL146W	+	86.050
YGL073W	YFL026W	+	83.454
YIL131C	YKL032C	binding enriched	85.182
YEL009C	YGL152C	?	96.654
YDR207C	YHL030W	binding enriched	102.304
YLR403W	YOR320C	-	106.287
YGL073W	YML100W	+	75.743
YER040W	YCR069W	binding enriched	65.590
YEL009C	YML066C	?	83.959
YIL131C	YHR086W-A	binding enriched	63.546
YCR084C	YGL234W	+	91.161
YER111C	YBL111C	-	46.282
YML007W	YMR183C	binding enriched	90.881
YHL020C	YDR497C	-	107.534
YBR083W	YJR028W	+	91.630
YLR403W	YGL028C	-	133.253
YIL036W	YOR204W	+	111.227
YOR038C	YBR045C	-	86.310
YPR086W	YMR303C	binding enriched	58.118
YCR084C	YHL050C	+	35.857
YOR174W	YDR518W	binding enriched	34.135
YGL073W	YNL036W	-	64.721
YNL068C	YJR045C	binding enriched	44.600
YNL236W	YDR292C	+	77.001
YIL131C	YBR242W	binding enriched	56.475
YOR110W	YGR132C	binding enriched	85.756
YJL127C	YNL030W	+	46.499
YMR037C	YOR068C	binding enriched	62.691
YBR112C	YOL032W	binding enriched	104.428
YML007W	YGR130C	-	92.281
YPL075W	YOR280C	+	112.430
YNL103W	YHR071W	?	94.678
YLR403W	YGR087C	+	91.366
YJL127C	YCR083W	?	82.130
YDR392W	YCL025C	binding enriched	136.098
YBR081C	YNL098C	binding enriched	84.829
YDR392W	YMR240C	binding enriched	61.109
YML007W	YLR154C	binding enriched	114.880
YOR110W	YHR214C-C	binding enriched	139.232
YGL073W	YLR413W	+	102.366
YOR174W	YER083C	binding enriched	63.345
YDL170W	YMR164C	binding enriched	71.082
YLR403W	YAL034C	?	183.425
YPR086W	YOR292C	binding enriched	100.767
YIL101C	YGL241W	binding enriched	56.880
YLR403W	YLR186W	?	30.820
YLR403W	YGL225W	-	70.043
YIL101C	YPL140C	binding enriched	47.086
YOR110W	YGL032C	binding enriched	86.601
YCR084C	YFL026W	+	49.016
YER111C	YFR015C	-	86.894
YEL009C	YPL111W	?	111.633
YLR403W	YNL149C	-	124.017
YIL101C	YLR081W	binding enriched	33.753
YER040W	YOR285W	-	75.065
YDR463W	YGR235C	+	67.657
YDR463W	YOR034C	+	88.987
YDR463W	YFR030W	-	126.998
YPL075W	YGR038W	+	79.914
YDR392W	YLR256W-A	+	126.595
YOR174W	YDR529C	binding enriched	27.327
YIL036W	YLL045C	+	25.014
YIL101C	YGL023C	binding enriched	26.319
YDR207C	YJR006W	binding enriched	119.321
YBR049C	YJL144W	binding enriched	101.091
YOR363C	YDL136W	-	67.310
YJR127C	YLL009C	binding enriched	60.919
YIL131C	YIL090W	binding enriched	20.366
YLR403W	YJL148W	?	123.176
YPR086W	YJR059W	binding enriched	84.971
YEL009C	Q0297	?	nan
YLR403W	YGL076C	+	98.279
YDL106C	YPL019C	+	69.166
YDL005C	YBR047W	binding enriched	70.470
YLR451W	YBR205W	binding enriched	73.152
YLR071C	YNR001C	binding enriched	69.824
YOR174W	YER041W	binding enriched	79.862
YGR252W	YGL113W	binding enriched	42.868
YLR176C	YLR002C	binding enriched	160.002
YDR463W	YKL023W	binding enriched	119.474
YDL005C	YOR196C	binding enriched	107.627
YDR259C	YCL001W-B	binding enriched	140.509
YJL056C	YKL175W	+	62.847
YJL127C	YLR148W	?	77.802
YIL036W	YLR142W	-	61.190
YIL101C	YNL162W	binding enriched	48.148
YPL075W	YER041W	+	88.971
YLR223C	YEL054C	bound	126.140
YLR403W	YIR009W	-	174.271
YOL004W	YPR069C	+	63.505
YDR392W	YDR210W	binding enriched	33.601
YOR110W	YHR051W	binding enriched	109.917
YMR037C	YBR024W	binding enriched	54.834
YML007W	YBL032W	binding enriched	46.142
YDR259C	YIL121W	binding enriched	89.142
YDR392W	YBR244W	+	95.346
YJL127C	YMR006C	?	76.693
