id1	id2	hier1	hier2	distance
YNL236W	YDR238C	Middle	Target	78.008
YJL127C	YBL082C	Middle	Target	81.304
YBR081C	YPL026C	Top	Target	73.913
YLR403W	YNL247W	Middle	Target	129.069
YJL127C	YGL135W	Middle	Target	44.654
YNL236W	YDR331W	Middle	Target	74.705
YML007W	YOR223W	Middle	Target	129.594
YGL013C	YPR158C-C	Middle	Target	93.297
YLR071C	YPL223C	Middle	Target	87.992
YGR104C	YER104W	Middle	Target	46.705
YML007W	YNL084C	Middle	Target	100.606
YNL216W	YOR096W	Middle	Target	27.260
YLR176C	YJL177W	Middle	Target	134.444
YDR207C	YLR156C-A	Middle	Target	119.666
YNL216W	YCR087C-A	Middle	Target	85.383
YLR403W	YBR271W	Middle	Target	61.260
YLR451W	YMR315W-A	Middle	Target	87.378
YLR176C	YNL095C	Middle	Target	114.999
YPR104C	YNL036W	Middle	Target	102.643
YPL075W	YKL191W	Middle	Target	74.923
YNL236W	YPL049C	Middle	Target	106.551
YPL075W	YMR243C	Middle	Target	56.892
YLR403W	YLR270W	Middle	Target	18.272
YGR116W	YHR138C	Middle	Target	49.545
YGL035C	RDN25-1	Middle	Target	75.829
YIL131C	YDL173W	Top	Target	88.684
YBR112C	YIL045W	Middle	Target	69.180
YBR049C	YLR229C	Middle	Target	114.403
YPL075W	YLR172C	Middle	Target	134.482
YJL127C	YOR378W	Middle	Target	62.462
YLR071C	YDR380W	Middle	Target	119.340
YGR252W	YDR490C	Middle	Target	59.434
YLR176C	YHR190W	Middle	Target	88.062
YJL127C	YOL143C	Middle	Target	35.666
YLR403W	YDR351W	Middle	Target	114.935
YDL170W	YDL019C	Middle	Target	87.658
YPL139C	YML107C	Bottom	Target	20.231
YIR018W	YJL218W	Middle	Target	90.455
YGR252W	YJL166W	Middle	Target	74.510
YER040W	YLR185W	Middle	Target	121.655
YDR392W	YKL086W	Middle	Target	83.771
YLR403W	YCR087C-A	Middle	Target	129.153
YGL013C	YPR190C	Middle	Target	96.064
YIL036W	YIL078W	Middle	Target	34.226
YIL131C	YNL074C	Top	Target	37.619
YGR252W	YKL150W	Middle	Target	97.974
YHL020C	YOR034C	Middle	Target	63.306
YIR018W	YBR076W	Middle	Target	81.748
YGR252W	YDR158W	Middle	Target	92.240
YBR049C	YMR202W	Middle	Target	62.605
YDR392W	YHL007C	Middle	Target	145.157
YLR403W	YMR049C	Middle	Target	158.153
YGR252W	YDR178W	Middle	Target	94.201
YGR252W	YEL065W	Middle	Target	68.690
YOR028C	YOR210W	Middle	Target	74.033
YMR037C	YNL231C	Middle	Target	78.212
YEL009C	YOR062C	Middle	Target	78.765
YER159C	YGL062W	Middle	Target	49.264
YDR392W	YHR071W	Middle	Target	97.799
YGR116W	YLL039C	Middle	Target	64.351
YIL131C	YBR259W	Top	Target	54.204
YBR049C	YDL072C	Middle	Target	74.360
YKL112W	YML040W	Middle	Target	65.307
YNL236W	YBR066C	Middle	Target	87.686
YFL031W	YLR214W	Bottom	Target	156.299
YDR463W	YDL176W	Middle	Target	41.954
YMR037C	YMR316W	Middle	Target	72.872
YNL236W	YDR261C-C	Middle	Target	85.739
YIL131C	YAL026C	Top	Target	69.950
YIL101C	YOR145C	Middle	Target	79.954
YJL127C	YBR191W	Middle	Target	102.245
YDR463W	YDL023C	Middle	Target	106.571
YPR086W	YGR008C	Middle	Target	78.035
YPR086W	YBL101C	Middle	Target	88.122
YDR392W	YDR249C	Middle	Target	28.801
YLR071C	YNL178W	Middle	Target	74.372
YBR049C	YJL076W	Middle	Target	96.973
YER111C	YLR467W	Middle	Target	91.918
YLR403W	YCR089W	Middle	Target	130.798
YNL216W	YMR027W	Middle	Target	73.907
YJL127C	YPL257W-A	Middle	Target	107.205
YDR392W	YKL063C	Middle	Target	86.717
YPL075W	YPR074C	Middle	Target	25.432
YIL131C	YOR166C	Top	Target	88.636
YDL005C	YJL126W	Middle	Target	82.107
YDR207C	YIR037W	Middle	Target	116.394
YDR259C	YLR096W	Middle	Target	95.546
YNL216W	YHR174W	Middle	Target	84.775
YJL127C	YMR244W	Middle	Target	111.702
YGR252W	YPL015C	Middle	Target	110.459
YLR176C	YJL004C	Middle	Target	162.623
YJL056C	YGL256W	Middle	Target	73.971
YIL036W	YOL016C	Middle	Target	59.746
YPR086W	YKL052C	Middle	Target	44.015
YHR206W	YGL062W	Middle	Target	50.792
YPR086W	YKL094W	Middle	Target	52.693
YDR207C	YKR009C	Middle	Target	106.440
YLR403W	YOL082W	Middle	Target	132.225
YCL055W	YLR303W	Bottom	Target	144.172
YOL148C	YER156C	Middle	Target	60.776
YDR463W	YPR100W	Middle	Target	86.796
YDR259C	YER048W-A	Middle	Target	108.556
YDR463W	YDR026C	Middle	Target	88.714
YLR098C	YGR027W-B	Middle	Target	42.371
YNL216W	YJL137C	Middle	Target	35.910
YCR084C	snR54	Middle	Target	52.841
YDR397C	YGR211W	Middle	Target	75.946
YGR104C	YDR051C	Middle	Target	92.086
YDR259C	YGL093W	Middle	Target	111.891
YJL127C	YJL195C	Middle	Target	41.738
YOR174W	YFL057C	Middle	Target	64.107
YHL020C	YBR006W	Middle	Target	22.039
YIR018W	YIL144W	Middle	Target	67.159
YLR071C	YHR109W	Middle	Target	69.743
YNL216W	YNL068C	Middle	Middle	35.655
YOL148C	YLR448W	Middle	Target	155.454
YHR058C	YKL195W	Top	Target	90.572
YIL101C	YNL186W	Middle	Target	43.209
YDL170W	YJL158C	Middle	Target	88.473
YDR259C	YDR080W	Middle	Target	44.304
YOR174W	YLR204W	Middle	Target	141.360
YIL101C	YGL175C	Middle	Target	49.969
YDR207C	YHR079C-A	Middle	Target	73.490
YGR104C	YBR173C	Middle	Target	31.443
YNL199C	YLR410W-A	Middle	Target	134.649
YDR463W	YBL033C	Middle	Target	114.557
YDR397C	YEL017C-A	Middle	Target	150.789
YPR086W	YPR040W	Middle	Target	14.847
YIL131C	YNR030W	Top	Target	64.019
YIL131C	YCR060W	Top	Target	50.093
YPL075W	YOL039W	Middle	Target	79.520
YDR207C	YBR126C	Middle	Target	78.782
YJL056C	YNR071C	Middle	Target	27.274
YDR392W	YBR196C	Middle	Target	84.041
YOL148C	YIR011C	Middle	Target	98.019
YPL075W	YFL002W-B	Middle	Target	77.545
YLR403W	YLL021W	Middle	Target	154.211
YOL148C	YIL009W	Middle	Target	97.304
YLR403W	YOR162C	Middle	Middle	141.560
YDR392W	YIL116W	Middle	Target	93.359
YDL005C	YIL114C	Middle	Target	69.080
YBL008W	YNL160W	Bottom	Target	94.027
YHR058C	YGR058W	Top	Target	68.228
YOR110W	YOR098C	Middle	Target	3.866
YNL216W	YMR096W	Middle	Target	80.909
YPL254W	YOL014W	Middle	Target	104.620
YJL127C	YDR210W-A	Middle	Target	107.131
YBR049C	YIL147C	Middle	Target	65.250
YNL068C	YDR153C	Middle	Target	104.761
YIR018W	YDR293C	Middle	Target	132.749
YNL103W	YJR010W	Middle	Target	72.906
YIL131C	YBL055C	Top	Target	35.332
YGL073W	YER036C	Middle	Target	41.184
YLR403W	YDL021W	Middle	Target	159.302
YDR207C	YNL030W	Middle	Target	126.707
YDR207C	YPR158W	Middle	Target	37.576
YJL127C	YDR447C	Middle	Target	92.588
YBR049C	YLR114C	Middle	Target	54.905
YLR418C	YNR074C	Middle	Target	148.659
YGR252W	YPR133W-A	Middle	Target	103.290
YML007W	YER069W	Middle	Target	98.187
YOR174W	YOR009W	Middle	Target	99.574
YGL073W	YOR293W	Middle	Target	86.091
YNL216W	YGR254W	Middle	Target	72.650
YGL073W	YMR145C	Middle	Target	101.718
YBR049C	YCR034W	Middle	Target	21.501
YJL127C	YOR323C	Middle	Target	71.451
YML007W	YML026C	Middle	Target	23.302
YMR037C	YDR487C	Middle	Target	86.157
YIL101C	YPL248C	Middle	Bottom	66.634
YOR110W	YER180C-A	Middle	Target	76.028
YML007W	YGR209C	Middle	Target	104.876
YGR252W	YGR244C	Middle	Target	13.155
YDR392W	YKR013W	Middle	Target	120.740
YKL112W	YOR230W	Middle	Middle	65.293
YPR065W	YMR319C	Bottom	Target	71.972
YLR403W	YMR186W	Middle	Target	116.426
YIL036W	YLR179C	Middle	Target	123.819
YLR098C	YDR316W-B	Middle	Target	102.551
YML007W	YLL049W	Middle	Target	51.917
YPR086W	YDR330W	Middle	Target	66.595
YDR259C	YMR305C	Middle	Target	42.807
YHR058C	YNL300W	Top	Target	115.499
YNL216W	YLR379W	Middle	Target	136.026
YCR084C	YML040W	Middle	Target	42.198
YNL103W	YHR183W	Middle	Target	84.341
YBR049C	YIL162W	Middle	Target	72.114
YNL330C	YPR102C	Middle	Target	101.761
YBR049C	YDL039C	Middle	Target	66.326
YOR174W	YAL044W-A	Middle	Target	94.847
YLR403W	YPL260W	Middle	Target	102.850
YLR176C	YDR347W	Middle	Target	123.911
YGL073W	YMR108W	Middle	Target	103.520
YOL108C	YNL156C	Middle	Target	29.459
YNL236W	YAL038W	Middle	Target	70.830
YLR403W	YER173W	Middle	Target	97.978
YPR052C	YER104W	Bottom	Target	69.824
YJL127C	YOL119C	Middle	Target	46.270
YDR423C	YBR157C	Middle	Target	65.714
YIL101C	YPL056C	Middle	Target	73.246
YOR174W	YDL038C	Middle	Target	72.858
YLR176C	YNL274C	Middle	Target	111.925
YGR252W	YGL246C	Middle	Target	18.521
YIR018W	YGL094C	Middle	Target	78.567
YNL103W	YAR035W	Middle	Target	99.797
YBR049C	YBL105C	Middle	Target	42.193
YLR403W	YCR097W-A	Middle	Target	133.441
YIL131C	YAR023C	Top	Target	87.260
YPL075W	YLR441C	Middle	Target	132.230
YHR041C	YIL051C	Bottom	Target	56.062
YHL027W	YMR319C	Middle	Target	98.570
YEL009C	YML012C-A	Middle	Target	46.171
YLR176C	YMR298W	Middle	Target	97.674
YDR463W	YMR018W	Middle	Target	105.083
YPL254W	YJL158C	Middle	Target	110.139
YER159C	YDL046W	Middle	Target	84.724
YIL101C	YLL018C	Middle	Target	45.976
YIL101C	YAL065C	Middle	Target	70.313
YJL056C	YBR048W	Middle	Target	104.034
YIL036W	YNL284C-A	Middle	Target	100.512
YNL216W	YCL009C	Middle	Target	106.604
YOR110W	YDL202W	Middle	Target	37.273
YPL177C	YLR214W	Bottom	Target	99.490
YPR104C	YBL027W	Middle	Target	68.286
YOR110W	YGL172W	Middle	Target	82.910
YMR042W	YOR150W	Bottom	Target	86.047
YOL148C	YAL003W	Middle	Target	101.011
YNL216W	YBR196C	Middle	Target	91.878
YPR133C	YKR031C	Middle	Target	51.995
YPL075W	YEL037C	Middle	Target	95.637
YEL009C	YOR383C	Middle	Target	113.936
YBR083W	YAL007C	Middle	Target	90.932
YDR423C	YBL061C	Middle	Target	101.374
YJL127C	YLR326W	Middle	Target	140.243
YPL075W	YDR388W	Middle	Target	96.015
YEL009C	YLR080W	Middle	Target	62.910
YLR176C	YLL052C	Middle	Target	123.306
YER159C	YLR304C	Middle	Target	98.420
YDR463W	YDL184C	Middle	Target	38.010
YLR403W	YMR194W	Middle	Target	116.494
YGL073W	YMR120C	Middle	Target	97.623
YDL170W	YPL009C	Middle	Target	98.808
YPL075W	YBR196C-A	Middle	Target	65.821
YPL075W	YML024W	Middle	Target	43.556
YDR207C	YKL163W	Middle	Target	66.703
YNL330C	YPL016W	Middle	Target	123.737
YDL020C	YNL146W	Bottom	Target	86.050
YGL073W	YFL026W	Middle	Target	83.454
YIL131C	YKL032C	Top	Middle	85.182
YEL009C	YGL152C	Middle	Target	96.654
YDR207C	YHL030W	Middle	Target	102.304
YLR403W	YOR320C	Middle	Target	106.287
YGL073W	YML100W	Middle	Target	75.743
YER040W	YCR069W	Middle	Target	65.590
YEL009C	YML066C	Middle	Target	83.959
YIL131C	YHR086W-A	Top	Target	63.546
YCR084C	YGL234W	Middle	Target	91.161
YER111C	YBL111C	Middle	Target	46.282
YML007W	YMR183C	Middle	Target	90.881
YHL020C	YDR497C	Middle	Target	107.534
YBR083W	YJR028W	Middle	Target	91.630
YLR403W	YGL028C	Middle	Target	133.253
YIL036W	YOR204W	Middle	Target	111.227
YOR038C	YBR045C	Bottom	Target	86.310
YPR086W	YMR303C	Middle	Target	58.118
YCR084C	YHL050C	Middle	Target	35.857
YOR174W	YDR518W	Middle	Target	34.135
YGL073W	YNL036W	Middle	Target	64.721
YNL068C	YJR045C	Middle	Target	44.600
YNL236W	YDR292C	Middle	Target	77.001
YIL131C	YBR242W	Top	Target	56.475
YOR110W	YGR132C	Middle	Target	85.756
